id,year,authors,title,journal_or_source,citation,short_cite,doi,pmid,pmcid,other_id,other_id_type,stable_url,id_basis,useful,reason,fulltext,lead_source,round,paper_spine,alias_of,notes
P1-001,1949,"Enders JF, Weller TH, Robbins FC",Cultivation of the Lansing strain of poliomyelitis virus in cultures of various human embryonic tissues,Science,Science. 1949;109:85-87,Enders et al. 1949 Science Lansing TC,,,,,,,PDF imprint: Science 28 Jan 1949 Vol. 109 p.85+,Y,Primary virus tissue culture methods with medium detail,Y,seed_enders,1,Y,,No DOI/PMID on PDF; do not invent. Title/authors from article body.
P1-002,1950,"Robbins FC, Enders JF, Weller TH",Cytopathogenic effect of poliomyelitis viruses in vitro on human embryonic tissues,Proc Soc Exp Biol Med,Proc Soc Exp Biol Med. 1950;75:370-374,Robbins et al. 1950 CPE,,,,18202,psgbm_article_number,,PDF title/pages; year+vol confirmed via Dulbecco 1954 biblio cite of this paper,Y,CPE as readable endpoint in tissue culture,Y,seed_enders,1,Y,,PSGBM article number (18202) on PDF. No DOI/PMID on PDF.
P1-003,1954,"Enders JF, Robbins FC, Weller TH",The cultivation of the poliomyelitis viruses in tissue culture (Nobel Lecture),Nobel Prize lecture,"Nobel Lecture, 11 December 1954. The Nobel Prize in Physiology or Medicine 1954",Enders et al. 1954 Nobel lecture,,,,,,https://www.nobelprize.org/prizes/medicine/1954/enders/lecture/,Official Nobel Prize website lecture page for 1954 Medicine,Y,Medium and methods narrative ox serum ultrafiltrate BSS,Y,seed_enders,1,N,,Stable URL is the official Nobel site; not a journal DOI.
P1-004,1952,"Melnick JL, Riordan JT",Poliomyelitis viruses in tissue culture. IV. Protein-free nutrient media in stationary and roller tube cultures,Proc Soc Exp Biol Med,Proc Soc Exp Biol Med. 1952;81:208-213,Melnick & Riordan 1952 protein-free media,,,,19823,psgbm_article_number,,"PDF: title, authors, p.208, article number (19823)",Y,Primary protein-free lactalbumin medium for polio TC,Y,seed_snowball,1,optional,,Volume 81 year 1952 from standard series imprint in extract; no DOI/PMID on PDF (PMID not recorded here).
P1-005,1954,"Dulbecco R, Vogt M",Plaque formation and isolation of pure lines with poliomyelitis viruses,J Exp Med,J Exp Med. 1954;99:167-182,Dulbecco & Vogt 1954 plaque,,,,,,,"PDF: title, authors, pages through 182; volume/year from project extract of this PDF",Y,Monolayer plaque assay methods context,Y,seed_plaque,1,N,,No DOI/PMID printed on PDF. Do not invent PMCID.
P1-006,1955,Melnick JL,"Tissue culture techniques and their application to original isolation, growth, and assay of poliomyelitis and orphan viruses",Ann N Y Acad Sci,Ann N Y Acad Sci. 1955;61:754-773,Melnick 1955 Ann NY Acad Sci,,,,,,,"PDF: title, author, pages 754+",Y,Melnick 1955 methods; lactalbumin + 2% calf serum; isolation CPE,Y,seed_melnick,9,N,,No DOI/PMID on PDF.
P1-007,1961,,Schmidt diagnostic tissue culture lead (AJPH-era; not fully extracted),,,Schmidt ~1961 AJPH tissue culture diagnostic (unresolved imprint),,,,,,,,B,Points to maintenance media and diagnostic TC; PDF not fully extracted,partial,seed_manual_line,2,N,,No verified imprint retained. Prefer P1-008 for methods. Prior PMC1522339 claim removed as not re-verified against a held PDF.
P1-008,1969,Schmidt NJ,Tissue culture technics for diagnostic virology (Chapter 3),"In: Lennette EH, Schmidt NJ, eds. Diagnostic Procedures for Viral and Rickettsial Infections. 4th ed. American Public Health Association","Schmidt NJ. Tissue culture technics for diagnostic virology. In: Lennette EH, Schmidt NJ, eds. Diagnostic Procedures for Viral and Rickettsial Infections. 4th ed. APHA; 1969. Chapter 3",Schmidt 1969 Diagnostic Procedures 4th ed ch.3,,,,Lennette-Schmidt-1969-4th-ed-ch3,book_chapter_key,,User-supplied full chapter screenshot PDF of 4th ed. ch.3; book has no DOI,Y,Full Schmidt ch.3 growth/maintenance recipes,Y,seed_manual_line,8,Y,,Identify by edition + chapter title + editor. No DOI expected for 1969 APHA volume.
P1-009,,Fenner F et al.,Cultivation and assay of viruses (Medical Virology chapter; secondary),Medical Virology (chapter),Fenner et al. Cultivation and Assay of Viruses (Medical Virology chapter; secondary textbook source),Fenner Cultivation and Assay of Viruses,,,,,,,,Y,States growth 5-10% FCS then maintenance little or no serum,Y,pubmed_fenner,2,N,,Prior PMC7173454 removed — not re-verified against a held PDF imprint in this pass.
P1-010,2006,Clinical and Laboratory Standards Institute,Viral Culture; Approved Guideline,CLSI document M41-A,CLSI. Viral Culture; Approved Guideline. CLSI document M41-A. Clinical and Laboratory Standards Institute; 2006,CLSI M41-A 2006,,,,M41-A,clsi_document_code,,Institutional document code M41-A held in project protocol corpus,Y,End-marker: growth ~10% FBS maintenance 1-3% and CPE primary,Y,seed_repo_protocol,2,institutional,,Cite by document code + year. No DOI in project notes.
