id,year,authors,title,citation,document_type,virus_or_agent,culture_system,cell_or_tissue,enrichment_propagation,enrichment_infection_or_observation,enrichment_change,change_timing,rationale_quoted,endpoint,comparison_of_media,uninoculated_under_same_medium,quotes_medium,quotes_endpoint,window_status,extractor,extract_date,confidence,notes
P1-001,1949,"Enders JF, Weller TH, Robbins FC",Cultivation of the Lansing strain of poliomyelitis virus in cultures of various human embryonic tissues,Science. 1949;109(2822):85-87,primary_methods,poliomyelitis Lansing,suspended tissue fragments,human embryonic arm/leg intestine brain; premature infant tissues,balanced salt solution 3 parts + ox serum ultrafiltrate 1 part (25% ultrafiltrate by volume),same fluid system; serial subculture with dilution,no,NA - single fluid type described,none_stated,virus multiplication (mouse/monkey infectivity); later CPE lineage,no,unclear,The cultures consisted of tissue fragments suspended in 3 cc of a mixture of balanced salt solution (3 parts) and ox serum ultrafiltrate (1 part).,multiplication of the virus in this medium has been comparable to that in the other types,in_window,grok-primary,2026-07-20,high,Full PDF re-extract from p1_history/refs; confirms Nobel lecture medium description
P1-002,1950,"Robbins FC, Enders JF, Weller TH",Cytopathogenic effect of poliomyelitis viruses in vitro on human embryonic tissues,Proc Soc Exp Biol Med. 1950;75 (as in PDF),primary_methods,poliomyelitis Lansing Brunhilde,suspended cell flask + plasma hanging drop + roller tube,human embryonic skin-muscle,Hanks-Simms 1:3 for suspended cultures; flask medium 9 parts Hanks-Simms + 1 part beef embryo extract; plasma drop: fowl plasma + chick + beef embryo extracts; pen/strep in medium,same systems; fresh medium every 3-5 days; antiserum experiments,no formal growth-vs-maintenance percent; medium replenishment,supernatant removed and fresh medium added on indicated days,none_stated,cytopathogenic effect; cell migration failure; pH differential vs controls,no,yes,"The medium used in these experiments consisted of 9 parts of the Hanks-Simms solution adopted as routine for the suspended cell cultures (1:3) and 1 part of beef embryo extract. Plasma hanging drop: 2 drops heparinized fowl plasma, one drop chick embryo extract and one drop beef embryo extract.",cytopathogenic effect; specific inhibition by immune serum of the cytopathogenic effect; normal monkey serum fails to protect the cells against the cytopathogenic action of the virus,in_window,grok-primary,2026-07-20,high,Full PDF; pH and migration controls; immune serum protection
P1-003,1954,"Enders JF, Robbins FC, Weller TH",The cultivation of the poliomyelitis viruses in tissue culture (Nobel Lecture),Nobel Prize Lecture 11 Dec 1954,primary_methods / historical primary,poliomyelitis,explant roller-tube suspended culture,human embryonic tissues; chick amniotic membrane,BSS + ox serum ultrafiltrate; Medium 199 later,long-term culture with medium replenishment,unclear as formal growth-vs-maintenance %,frequent intervals,none_stated as modern 10-to-2,cytopathogenic effect; pH; neutralization,no,yes,balanced salt solution and ox serum ultrafiltrate; nutritive medium removed and replenished at frequent intervals,cytopathogenic effects of the virus as we later called them,in_window,grok-primary,2026-07-20,high,Nobel lecture full text
P1-004,1952,"Melnick JL, Riordan JT",Poliomyelitis Viruses in Tissue Culture. IV. Protein-Free Nutrient Media in Stationary and Roller Tube Cultures,Proc Soc Exp Biol Med. 1952;81:208-213 (approx from PDF),primary_methods,poliomyelitis,roller and stationary tube plasma clot monkey testicular tissue,monkey testicular tissue fibroblasts,Prior art: serum or embryonic extracts + serum ultrafiltrate + salt solution. This paper: Hanks-Simms 9 parts + 5% lactalbumin hydrolysate 1 part during outgrowth (protein hydrolysate replaces serum/embryo extract),After virus: 1% lactalbumin hydrolysate medium (PDF: 1% lactalbumin after virus addition); protein-free fluid phase,yes,outgrowth medium then virus; fluid changes; protein stimulants replaced by lactalbumin,simplification of medium; protein not essential for fibroblast growth or polio multiplication; advantages of commercial lactalbumin; stationary tubes for isolation typing neutralization without roller drums,cytopathogenic effect fibroblast degeneration; virus titration,yes,yes,"protein-containing, cellular growth stimulants (serum or embryonic extract) have been successfully replaced by a protein hydrolysate (lactalbumin). The complete medium which is added to the imbedded tissue fragments during outgrowth of cells consists of Hanks-Simms solution (3 parts of Hanks balanced salt solution plus 1 part of Simms ultrafiltrate) 9 parts, and 5% lactalbumin hydrolysate, 1 part. After the addition of virus, a 1% lactalbumin [medium]. This study indicates that the presence of protein in the fluid phase of the nutrient medium is not essential for the growth of fibroblasts or for the multiplication of poliomyelitis viruses in tube cultures.",cytopathogenic effect; Uninoculated rolled control tubes showing clear fibroblastic outgrowth; extensive degeneration after virus,in_window,grok-primary,2026-07-20,high,Full PDF as user P1-04; landmark protein-free / reduced protein medium for polio TC
P1-005,1954,"Dulbecco R, Vogt M",Plaque formation and isolation of pure lines with poliomyelitis viruses,J Exp Med. 1954;99:167-182,primary_methods,poliomyelitis types 1-3,monolayer primary monkey kidney,monkey kidney monolayers,Earle saline 8 parts + horse serum 6 parts + chicken embryo extract 3 parts,Agar overlay: 2.7% agar + neutral red + 4x Earle saline + embryo extract (no horse serum listed in overlay parts),yes,after monolayer formation; infection under agar overlay,none_stated as modern FBS reduction,plaques PFU pure line isolation,partial,yes,"Tissue Culture Fluid.--Earle's saline (ES), 8 parts, horse serum, 6 parts, chicken embryo extract (1:1 in ES), 3 parts. Overlay consisted of 12 parts 2.7 per cent agar, 12 parts neutral red solution, 8 parts fourfold Earle's saline, and 5 parts of embryo extract.",Plaques have been produced with the three types of poliomyelitis viruses,in_window,grok-primary,2026-07-20,high,Full PDF; rich horse-serum growth fluid vs serum-not-listed plaque overlay
P1-006,1955,Melnick JL,"Tissue culture techniques and their application to original isolation, growth, and assay of poliomyelitis and orphan viruses",Ann N Y Acad Sci. 1955;61:754-773,primary_methods,poliomyelitis and orphan viruses,trypsinized monkey kidney tubes bottles,monkey kidney epithelial,0.5% lactalbumin hydrolysate + 2% calf serum + 97.5% Hanks BSS,After inoculum replace with lactalbumin medium (Earle solution); observe CPE days 2-10,yes,after inoculum replace fluid,Inexpensive simple medium for trypsinized cells,CPE isolation typing neutralization,yes,unclear,"0.5 per cent lactalbumin enzymatic hydrolysate, 2 per cent calf serum, and 97.5 per cent Hank's salt solution. After inoculum replaced with fresh lactalbumin hydrolysate medium in Earle's solution.",cytopathic changes induced by the presence of the virus on 2nd 4th 7th 10th days,in_window,grok-primary,2026-07-21,high,Cites Diagnostic Procedures 2nd ed; Melnick-Riordan 1952
P1-008,1969,Schmidt NJ,Tissue Culture Technics for Diagnostic Virology (Chapter 3),"In: Lennette EH, Schmidt NJ, eds. Diagnostic Procedures for Viral and Rickettsial Infections. 4th ed. APHA; 1969. p.79-178 (approx)",manual,diagnostic viruses general,diagnostic monolayer tube bottle primary secondary continuous diploid organ,human amnion kidney skin-muscle diploid HeLa HEp-2 monkey kidney BS-C-1 rabbit hamster chick embryo etc,Growth media with serum for rapid proliferation. Examples (per 100 ml): human amnion 20 ml FBS + Medium 199; fetal kidney 20 ml FBS + Eagle MEM; diploid/skin-muscle 10 ml FBS + Eagle MEM; continuous lines 10 ml human serum + Eagle or lactalbumin-YE; monkey kidney 5 ml bovine serum + lactalbumin hydrolysate; BS-C-1/rabbit 10 ml FBS + Eagle MEM; BHK growth 10% calf/FBS + fortified Eagle or lactalbumin-YE.,Maintenance less rich; serum-free preferred when possible else low serum (typically 2% FBS). Examples: 2 ml FBS + 94.5 ml Medium 199 or Eagle MEM (2%); L-15 + 2% FBS for respiratory viruses; monkey kidney serum-free Eagle MEM or 2% FBS options; continuous-line maintenance sometimes 5% chicken/FBS + lactalbumin mix; wash BSS before virus to remove inhibitors from growth serum.,yes,Prior to inoculation with virus growth medium removed; wash BSS; replace with maintenance. Confluent monolayers formed first (days vary by cell type).,Growth media promote rapid proliferation. Maintenance keep slow steady metabolism less rich. Should be serum-free if possible; fetal/agamma calf if serum required. Wash removes antibodies/inhibitors in growth serum. FBS usually free of viral inhibitors. High NaHCO3 inhibits certain respiratory viruses so L-15+2% FBS used.,CPE primary for isolation; also hemadsorption interference plaques metabolic inhibition FA; uninoculated control tubes,yes (many cell-type-specific recipes),yes,SEE P1_quotes.md Round 8 Schmidt block - growth vs maintenance definition pp.90-91; recipes pp.102-114 including 2% FBS maintenance formulas,CPE cellular degeneration; uninoculated control tubes; nonspecific degeneration from toxic inocula; positive if CPE or HA or interference,end_marker,grok-primary,2026-07-20,high,Full ch.3 screenshot PDF; definitive 1969 diagnostic dual-medium codification with explicit 2% FBS maintenance recipes; chapter number is 3 in 4th ed
P1-009,2014,Fenner F et al,Cultivation and Assay of Viruses,Medical Virology PMC7173454,review / textbook,general animal viruses,monolayer,general continuous lines,FCS 5-10% for initial growth,maintenance medium little or no serum after inoculation,yes,once monolayer established growth medium removed virus inoculated maintenance added,Serum for growth factors; fetal calf preferred re antibody,CPE and assay,no,unclear,Fetal calf serum (5-10%) incorporated for initial growth. Once monolayer established growth medium removed virus inoculated and maintenance medium containing little or no serum is added.,Since 1949 Enders et al. cytopathic changes,end_marker / secondary,grok-primary,2026-07-20,high,Textbook codification
P1-010,2006,CLSI,Viral culture Approved guideline M41-A,CLSI Document M41-A 2006,manual,diagnostic viral culture,tube shell vial,multiple,Growth medium typically 10% FBS,Maintenance 1-3% FBS e.g. 2%,yes,at required density / with inoculation,slow monolayer overgrowth; inhibitors; permit replication,CPE primary,no,yes,Typically 10% FBS growth; 1 to 3% maintain before and after inoculation,Section Viral Effects CPE primary,end_marker,grok-primary,2026-07-20,high,In-repo project notes
P1-011,current,ATCC Staff,Virology Culture Guide,atcc.org,manual,tissue culture-adapted viruses,monolayer,virus-dependent hosts,Cell growth medium higher serum,Viral growth medium lower serum; NOTE 5 decrease to 2%,yes,for viral inoculation,can interfere with viral attachment (NOTE 5); influenza exception,CPE / authentication,no,yes,Viral growth medium is usually supplemented with a lower percentage of serum than cell growth medium; For viral inoculation ATCC recommends decreasing the percentage of serum to 2% as it can interfere with viral attachment.,Check the flask for cytopathic effects (CPE) when applicable.,end_marker,grok-primary,2026-07-20,high,Modern institutional guide
