id,year,authors,title,journal_or_source,citation,doi,pmid,useful,reason,fulltext,lead_source,round,metrics_hint,notes
P2-001,2016,"Nolte-'t Hoen E, Cremer T, Gallo RC, Margolis LB",Extracellular vesicles and viruses: Are they close relatives?,PNAS,PNAS. 2016;113(33):9155-9161,10.1073/pnas.1605146113,27432966,Y,Explicit continuum; mission-almost-impossible separation; size/density overlap,Y,seed_local_pdf,1,"M-SIZE;M-DENS;M-CONT;M-RNA;M-MARK",Colleague-heavy seed; still high-value primary perspective
P2-002,2020,"McNamara RP, Dittmer DP",Modern techniques for the isolation of extracellular vesicles and viruses,J Neuroimmune Pharmacol,J Neuroimmune Pharmacol. 2020;15(3):459-472,10.1007/s11481-019-09874-x,,Y,Method-by-method co-isolation; density table; UC/PEG limitations,Y,seed_local_pdf,1,"M-UC;M-PEG;M-DENS;M-SIZE;M-TFF;M-MARK",Seed; Dittmer lab
P2-003,2020,"Zhou Y, McNamara RP, Dittmer DP",Purification methods and the presence of RNA in virus particles and extracellular vesicles,Viruses,Viruses. 2020;12(9):917,10.3390/v12090917,,Y,RNA attribution when EV and virions co-purify; method comparison table,Y,seed_local_pdf,1,"M-RNA;M-UC;M-PEG;M-SEC;M-MARK",Seed; Dittmer lab
P2-004,2017,"Raab-Traub N, Dittmer DP",Viral effects on the content and function of extracellular vesicles,Nat Rev Microbiol,Nat Rev Microbiol. 2017 (AOP/print),10.1038/nrmicro.2017.60,,Y,Box on distinguishing EVs vs virions; method co-purification table,Y,seed_local_pdf,1,"M-UC;M-PEG;M-SEC;M-DENS;M-MARK;M-CONT",Seed; Dittmer/Raab-Traub
P2-005,2011,"Meckes DG Jr, Raab-Traub N",Microvesicles and viral infection,J Virol,J Virol. 2011;85(24):12844-12854,10.1128/JVI.05853-11,,Y,Shared biophysical properties size density biogenesis with enveloped viruses,Y,seed_local_pdf,1,"M-SIZE;M-DENS;M-PROT;M-CONT",Seed; early mini-review
P2-006,2020,"Giannessi F, Aiello A, Franchi F, Percario ZA, Affabris E",The role of extracellular vesicles as allies of HIV HCV and SARS viruses,Viruses,Viruses. 2020;12(5):571,10.3390/v12050571,,Y,EV-virus structural/functional relatives; biogenesis overlap,Y,seed_local_pdf,1,"M-SIZE;M-LIPID;M-CONT;M-PROT",Independent group (Roma Tre) — diversifies beyond UNC seeds
P2-007,2023,"Moulin C, Crupi MJF, Ilkow CS, Bell JC, Boulton S",Extracellular vesicles and viruses: two intertwined entities,Int J Mol Sci,Int J Mol Sci. 2023;24(2):1036,10.3390/ijms24021036,,Y,Recent intertwined pathways; biogenesis hijacking persists to 2023,Y,seed_local_pdf,1,"M-CONT;M-PROT;M-HIST",Ottawa group — non-seed-network recent review
P2-008,2018,"van Niel G, D'Angelo G, Raposo G",Shedding light on the cell biology of extracellular vesicles,Nat Rev Mol Cell Biol,Nat Rev Mol Cell Biol. 2018,10.1038/nrm.2017.125,,B,Core EV biogenesis; little virus-separation claim; background only,Y,seed_local_pdf,1,"M-SIZE;M-EM;M-PROT",Useful background; not dilemma primary
P2-009,2003,"Gould SJ, Booth AM, Hildreth JEK",The Trojan exosome hypothesis,PNAS,PNAS. 2003;100(19):10592-10597,10.1073/pnas.1831413100,12947040,Y,Foundational claim retroviruses use exosome pathway; particle identity continuum,abstract_only,snowball_from_seeds,1,"M-CONT;M-LIPID;M-PROT",High priority PDF request
P2-010,1997,"Bess JW Jr, Gorelick RJ, Bosche WJ, Henderson LE, Arthur LO",Microvesicles are a source of contaminating cellular proteins found in purified HIV-1 preparations,Virology,Virology. 1997;230(1):134-144,10.1006/viro.1997.8453,9126269,Y,Primary: microvesicles co-band with HIV on sucrose density; contaminate purified virus,abstract_only,web_hist_E,2,"M-DENS;M-UC;M-PROT;M-EM;M-HIST;M-RNA",Critical historical primary; PDF request
