id,year,authors,title,citation,document_type,virus_or_system,metrics_coded,states_incomplete_physical_separation,claims_successful_separation,separation_methods_discussed,historical_claim,quotes_key,supports_dilemma,counterexample_value,fulltext,extractor,extract_date,confidence,notes
P2-001,2016,"Nolte-'t Hoen E, Cremer T, Gallo RC, Margolis LB",Extracellular vesicles and viruses: Are they close relatives?,PNAS 2016;113:9155-9161,perspective,retroviruses general; HIV examples,"M-SIZE;M-DENS;M-CONT;M-RNA;M-MARK;M-UC",yes,partial,"density gradients limited; velocity gradients with p24 vs AChE/CD45; future nano-flow",border between defective viruses and EVs does not exist; early EM co-pelleted membrane particles,Mission almost impossible separation of virions from EVs; size 50-100 nm EV vs ~100 nm retrovirus; density EV 1.13-1.18 vs retrovirus 1.16-1.18; border between them seems not to exist,Y,N,Y,grok-primary,2026-07-22,high,Full PDF local; foundational consensus language
P2-002,2020,"McNamara RP, Dittmer DP",Modern techniques for the isolation of extracellular vesicles and viruses,J Neuroimmune Pharmacol 2020,review,small EV <200 nm density <1.3; multiple viruses,"M-UC;M-PEG;M-DENS;M-SIZE;M-TFF;M-MARK;M-SEC",yes,partial,"UC gradients co-sediment; PEG co-precipitates; affinity better; nano-flow emerging",UC historically used for both virus and EV,Some viruses exhibit overlapping densities with EV; carefully prepared gradients cannot conclusively separate them; co-contamination expected for lower density virus families,Y,partial,Y,grok-primary,2026-07-22,high,Full PDF local; method survey
P2-003,2020,"Zhou Y, McNamara RP, Dittmer DP",Purification methods and the presence of RNA in virus particles and extracellular vesicles,Viruses 2020;12:917,review,herpesviruses HIV HAV focus RNA,"M-RNA;M-UC;M-PEG;M-SEC;M-MARK;M-DENS",yes,partial,"affinity can enrich marker+ EV away from some viruses; PEG poor for functional purity",debate whether RNA in virion preps is EV contamination,Virus particles have similar biophysical attributes to EV; often densities so closely overlap that density-gradient separation is impractical,Y,partial,Y,grok-primary,2026-07-22,high,Full PDF local; RNA attribution hinge
P2-004,2017,"Raab-Traub N, Dittmer DP",Viral effects on the content and function of extracellular vesicles,Nat Rev Microbiol 2017,review,EBV KSHV HIV HAV HCV,"M-UC;M-PEG;M-SEC;M-DENS;M-MARK;M-CONT;M-EM",yes,partial,"Box1: UC PEG SEC density flotation yes virion co-purification; CD63 beads no",similar biophysical properties make pure populations hard,Owing to small size and similar biochemical composition viruses and EVs have similar biophysical properties; challenging to determine precise composition,Y,partial,Y,grok-primary,2026-07-22,high,Full PDF local; method table yes/no co-purification
P2-005,2011,"Meckes DG Jr, Raab-Traub N",Microvesicles and viral infection,J Virol 2011;85:12844-12854,review,enveloped viruses general EBV,"M-SIZE;M-DENS;M-PROT;M-CONT;M-EM",partial,unclear,density ranges for exosomes vs SM vs AB tabulated,shared characteristics with enveloped viruses noted early,Exosomes 40-100 nm density 1.10-1.19; many virus-like biophysical properties,Y,N,Y,grok-primary,2026-07-22,high,Full PDF local
P2-006,2020,"Giannessi F et al.",The role of extracellular vesicles as allies of HIV HCV and SARS viruses,Viruses 2020;12:571,review,HIV HCV SARS-CoV,"M-SIZE;M-LIPID;M-CONT;M-PROT;M-UC;M-DENS",yes,unclear,shared ESCRT lipid raft pathways; UC almost impossible mission language,Trojan exosome vs convergent evolution theories,EVs resemble enveloped viruses; almost impossible to separate EVs and viruses by differential UC; no method guarantees complete separation,Y,N,Y,grok-primary,2026-07-22,high,Full PDF local; non-UNC; metrics amended after Agent A
P2-007,2023,"Moulin C et al.",Extracellular vesicles and viruses: two intertwined entities,Int J Mol Sci 2023;24:1036,review,general + therapy,"M-CONT;M-PROT",partial,unclear,biogenesis hijacking focus more than purification tables,interactions highly interconnected past decade,Viruses share many attributes with EVs; cellular machinery for EV production manipulated for viral egress,mixed,N,Y,grok-primary,2026-07-22,medium,Full PDF local; supports biology intertwining not methods failure; amended after Agent A
P2-009,2003,"Gould SJ, Booth AM, Hildreth JEK",The Trojan exosome hypothesis,PNAS 2003,perspective,retroviruses,"M-CONT;M-LIPID;M-PROT",yes,no,argues shared pathway rather than offering separation,retroviruses as variant form of exosome biogenesis,Trojan exosome hypothesis: retroviruses use preexisting nonviral exosome biogenesis pathway,Y,N,abstract_only,grok-primary,2026-07-22,medium,PDF requested; foundational ontology paper
P2-010,1997,"Bess JW Jr et al.",Microvesicles are a source of contaminating cellular proteins found in purified HIV-1 preparations,Virology 1997;230:134-144,primary_experimental,HIV-1 T-cell lines,"M-DENS;M-UC;M-PROT;M-EM;M-HIST;M-RNA",yes,no,sucrose density gradient and 20% sucrose pads co-purify microvesicles,pre-exosome-field language: microvesicles contaminate purified HIV,Microvesicles band in sucrose gradients in a range of densities that includes the same density as retroviruses; contain HLA DR beta2-M RNA DNA; EM various sizes morphologies,Y,N,abstract_only,grok-primary,2026-07-22,medium,Critical 1997 primary candidate; abstract-backed; confidence medium until PDF (Agent A)
P2-011,1997,"Gluschankof P et al.",Cell membrane vesicles are a major contaminant of gradient-enriched human immunodeficiency virus type-1 preparations,Virology 1997;230:125-133,primary_experimental,HIV-1,"M-DENS;M-UC;M-EM;M-PROT;M-HIST",yes,no,gradient enrichment co-isolates membrane vesicles,same-year independent primary,Cell membrane vesicles major contaminant of gradient-enriched HIV-1 preparations; uninfected controls HLA-DR bands; EM excess vesicles,Y,N,abstract_only,grok-primary,2026-07-22,medium,Critical 1997 primary candidate; confidence medium until PDF
P2-013,2008,"Cantin R, Diou J, Bélanger D, Tremblay AM, Gilbert C",Discrimination between exosomes and HIV-1-infected cells: methods and applications,J Immunol Methods. 2008;338:21-30 PMID 18675270,primary_experimental,HIV-1 vs exosomes,"M-MARK;M-DENS;M-UC",partial,yes,Optiprep velocity gradients; anti-AChE immunodepletion; sucrose inefficient,acknowledges co-isolation problem,Sucrose gradients inefficient; velocity gradients separate AChE+ exosomes from HIV; AChE immunodepletion,Y,Y,abstract_only,grok-primary,2026-07-22,medium,CORRECTED imprint after Agent B (was mis-catalogued as J Virol CD45)
P2-014,2008,"Coren LV, Shatzer T, Ott DE",CD45 immunoaffinity depletion of vesicles from Jurkat T cells...,Retrovirology 2008;5:64,primary_experimental,HIV-1 Jurkat,"M-MARK;M-UC;M-PROT",yes,yes,CD45 immunoaffinity depletion removes contaminating vesicles,cites Bess 1997; also argues against shared Trojan budding,Demonstrates method to deplete CD45+ vesicles; dual-classification reinforcement,Y,Y,abstract_only,grok-primary,2026-07-22,medium,Remediation = problem real; also anti-Trojan framing (Agent B)
P2-015,2009,"Ott DE",Purification of HIV-1 virions by subtilisin digestion or CD45 immunoaffinity depletion...,Methods Mol Biol 2009,primary_methods,HIV-1,"M-MARK;M-PROT;M-UC",yes,yes,subtilisin shaving or CD45 depletion protocols,methods developed because contaminants matter for proteomics,Protocol purpose: remove microvesicle contaminants for biochemical studies; subtilisin is exterior shave not class separation,Y,Y,abstract_only,grok-primary,2026-07-22,medium,Methods paper as evidence of recognized problem
P2-016,2013,"Feng Z et al.",A pathogenic picornavirus acquires an envelope by hijacking cellular membranes,Nature 2013;496:367-371,primary_experimental,HAV,"M-CONT;M-DENS;M-EM;M-INF;M-LIPID",yes,partial,gradients distinguish eHAV vs naked HAV; eHAV resembles exosomes,non-enveloped virus mostly membrane-cloaked in culture,eHAV resemble exosomes; majority of released HAV membrane-cloaked (79% figure fulltext-dependent),Y,N,abstract_only,grok-primary,2026-07-22,medium,Primary; blurs enveloped definition; confidence medium until PDF
