"original_filename","original_relative_path","reason"
"EXP_path2_passage4_212.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_212.tif","path2_day2_outside_CRO_sequence_201-210"
"EXP_path2_passage4_213.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_213.tif","path2_day2_outside_CRO_sequence_201-210"
"EXP_path2_passage4_301.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_301.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_302.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_302.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_304.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_304.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_306.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_306.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_309.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_309.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_310.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_310.tif","path2_day3_superseded_by_a_recapture_set"
"EXP_path2_passage4_303a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_303a.tif","displaced_by_cro_exact_original_for_same_field_id"
"EXP_path2_passage4_307a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_307a.tif","displaced_by_cro_exact_original_for_same_field_id"
"EXP_path2_passage4_308a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_308a.tif","displaced_by_cro_exact_original_for_same_field_id"
